,0
1985,83
1986,135
1987,122
1988,134
1989,152
1990,141
1991,168
1992,193
1993,143
1994,131
1995,102
1996,80
1997,82
1998,72
1999,79
2000,81
2001,95
2002,167
2003,213
2004,272
2005,271
2006,277
2007,364
2008,369
2009,363
2010,362
2011,344
2012,333
2013,328
2014,255
2015,249
2016,224
2017,222
2018,104
Stor,1
