,0
同济大学物理科学与工程学院,5
兰州大学资源环境学院,5
武汉大学生命科学学院,5
中央财经大学会计学院,5
华南农业大学,5
南昌大学,5
北京师范大学教育学院,5
河南大学教务处,5
清华大学工程力学系,5
山东师范大学,5
华北电力大学教务处,5
中国人民大学新闻学院,5
温州师范学院,5
孝感学院教务处,5
江南大学生物工程学院,5
北京科技大学机械工程学院,5
江西师范大学文学院,5
中国科学技术大学计算机系,5
江西师范大学,5
清华大学电机工程与应用电子技术系,5
上海理工大学,5
温州大学外国语学院,5
西北工业大学教务处,5
北京农业大学,5
南京气象学院,5
对外经济贸易大学,5
西北工业大学机电学院,5
阜阳师范学院,5
丽水学院,5
山东大学教务处,5
南京航空航天大学力学教学实验中心,5
南京航空学院,5
浙江金融职业学院,5
教育部高等学校地质类专业教学指导委员会,5
辽宁大学,5
四川大学教务处,5
复旦大学高等教育研究所,5
吉林工业大学,5
教育部高教司,5
上海交通大学外国语学院,5
北京化工大学理学院,5
南京师范大学地理科学学院,5
广东商学院,5
南京师范大学外国语学院,5
重庆大学数理学院,4
上海财经大学公共经济与管理学院,4
西南大学教务处,4
南京工学院,4
西北大学信息科学与技术学院,4
南京大学公共管理学院教育科学与管理系,4
哈尔滨工程大学教务处,4
上海应用技术学院,4
中国计量学院经济与管理学院,4
国家教委,4
湖南大学岳麓书院,4
南京理工大学机械学院,4
清华大学计算机系,4
中国法学会法学教育研究会,4
西南师范大学,4
高等教育出版社化学编辑室,4
广西师范大学文学院,4
河海大学教务处,4
复旦大学物理教学实验中心,4
成都电子科技大学,4
中国教育学会,4
北京工业大学机电学院,4
解放军理工大学,4
山西财经大学,4
浙江大学,4
西北大学化学系,4
四川大学文学与新闻学院,4
南京师范大学教务处,4
东南大学外语系,4
浙江丽水学院人文学院,4
国家教育委员会,4
北京大学慕课工作组,4
西北工业大学人文与经法学院,4
中国石油大学(华东)教务处,4
上海师范大学,4
哈尔滨工业大学计算机科学与技术学院国家级实验教学示范中心,4
南京工业大学教务处,4
广州大学土木工程学院,4
浙江万里学院数字媒体艺术系,4
浙江大学生物学实验教学中心,4
东南大学外国语学院,4
浙江大学本科生院教务处,4
清华大学基础工业训练中心,4
浙江大学计算机科学与技术学院,4
军械工程学院,4
西北大学化学与材料科学学院,4
高等教育出版社机械编辑室,4
鞍山钢铁学院,4
蚌埠坦克学院,4
浙江工学院,4
北京大学现代教育技术中心,4
西北农林科技大学,4
山东大学威海分校中文系,4
中央财经大学商学院,4
宁波工程学院,4
中国人民大学商学院,4
华东师范大学资源与环境科学学院,4
西安建筑科技大学教务处,4
教育部高等学校法学类专业教学指导委员会,4
吉林工学院,4
中国人民大学法学院,4
湘潭师范学院,4
福州大学教务处,4
教育部高等学校经济学类专业教学指导委员会,4
武汉大学政治与公共管理学院,4
山东大学经济学院,4
中山大学教务处,4
北京工业大学经济与管理学院,4
吉林工程技术师范学院,4
黑龙江工程学院,4
华中工学院,4
北京理工大学教务处,4
上海交通大学环境科学与工程学院,4
中国人民大学哲学院,4
东北师范大学生命科学学院,4
华中师范大学文学院,4
教育部高等学校化工类专业教学指导委员会,4
北京航空航天大学计算机学院,4
江汉石油学院,4
黔南民族师范学院中文系,4
电子科技大学,4
丽水学院教务处,4
电子科技大学计算机科学与工程学院,4
首都师范大学远程教育研究所,4
中南矿冶学院,4
中南财经政法大学,4
淮北师范大学教务处,4
焦作工学院,4
吉林大学教务处,4
云南大学,4
云南大学教务处,4
北京第二外国语学院,4
教育部高等学校文化素质教育指导委员会,4
西安建筑科技大学,4
西安交通大学管理学院,4
福建工程学院教务处,4
沈阳师范学院,4
陕西机械学院,4
湖南文理学院教务处,4
西南财经大学教务处,4
吉林艺术学院,4
北京师范大学物理系,4
天津大学化工学院,4
北京师范大学教育技术学院,4
中国地质大学(武汉),4
绍兴文理学院,4
马鞍山钢铁学院,4
华南师范大学教育科学学院,4
承德石油高等专科学校,4
北京师范大学,4
北京市教育委员会,4
大连理工大学化工学院化学系无机化学教研室,4
浙江海洋学院教务处,4
大连理工大学化学学院,4
无锡职业技术学院,4
清华大学化学系,4
长春大学,4
教育部大学外语教学指导委员会,4
南开大学生命科学学院,4
华中科技大学教科院,4
首都师范大学文学院,4
西安交通大学党委,4
内江师专,3
清华大学教材委员会,3
南京航空航天大学教务处,3
原长沙铁道学院,3
海南师范学院,3
南京邮电学院,3
厦门大学现代教育技术与实践训练中心,3
南京航空航天大学外国语学院,3
南开大学经济学院,3
西安交通大学国家级教师教学发展示范中心,3
