,0
"高等教育出版社
",3
"东南大学物理系
",2
"四川师范学院
",2
"北京航空航天大学教务处
",2
"厦门大学化学系
",2
"清华大学化学系
",1
"海淀走读大学
",1
"浙江经济高等专科学校
",1
"浙江教育学院地理室
",1
"山西省晋城市教育学院
",1
"浙江大学教务处教材科
",1
"清华大学土木工程系
",1
"浙江大学教务处
",1
"浙江大学化学系
",1
"河南省洛阳师专化学系
",1
"江西中医学院教务处
",1
"杭州电子工业学院
",1
"山东工业大学教务处
",1
"山东工业大学电子系
",1
"清华大学教材委员会
",1
"山东大学高等数学教研室
",1
"山东大学生物系细胞生物学教研室
",1
"安徽阜阳师范学院历史系
",1
"安徽建筑工业学院建工系
",1
"天津师范专科学校，政治理论部，马列教研室
",1
"大连理工大学教务处
",1
"大连理工大学化工学院有机化学教研室
",1
"复旦大学
",1
"国家教育委员会高等教育司文科教育管理处
",1
"国家教委高等教育司，全国高等教育教材建设研究会
",1
"国家教委高等教育司
",1
"清华大学工程力学系理论力学教研室
",1
"清华大学计算机系
",1
"国家教委高教司综合处
",1
"清华大学，国家教委高教司教材处
",1
"高等教育出版社，中文编辑室
",1
"高等教育出版社政史室
",1
"高等教育出版社技术编辑室
",1
"鞍山钢铁学院理论力学教研室
",1
"鞍山钢铁学院
",1
"青岛海洋大学教务科，青岛海洋大学教务处
",1
集美航海学院,1
"陕西省榆林高等专科学校教研室
",1
"长沙铁道学院力学系材料力学教研室
",1
"长春水电专科学校电力基础教研室
",1
"长春师范学院物理系
",1
"锦州医学院
",1
"重庆大学外语系，清华大学外语系，复旦大学外语系
",1
"郑州工学院化工系
",1
辽宁省国际信托投资公司计算中心,1
"贵州师范大学地理系
",1
"西安交通大学物理系
",1
"西安交通大学教务处
",1
"西安交通大学
",1
"西南交通大学物理系
",1
"西北工业大学出版社
",1
"蚌埠坦克学院
",1
"石家庄军械工程学院政教部
",1
"甘肃省酒泉工业学校工民建教研室
",1
"湘潭师范学院物理系
",1
"湖南省邵阳工业专科学校力学教研室
",1
"湖南大学大学英语教研室
",1
"国家教委高教司，北京大学生命科学学院
",1
"国家教委高教司
",1
"国家教委高教司教材建设处
",1
"国家教委高教司外语处
",1
"北京师范大学
",1
"北京大学生命科学院学术委员会
",1
"北京大学物理系
",1
"北京大学数学系
",1
"北京大学化学系
",1
"北京大学
",1
北京动力经济学院基础部,1
"北京动力经济学院
",1
"兰州大学教务处
",1
"全国理科教学指导委员会
",1
"中山大学地球与环境科学学院
",1
"中国船舶工业总公司教材编审室
",1
"中国航空工业总公司教材编审室
",1
"中国纺织大学无锡分校
",1
"中国矿业大学教材科
",1
"中国人民大学教务处
",1
中南工业大学工程力学教研室,1
"东南大学社会科学系
",1
东南大学教材科,1
"东北财经大学教材科
",1
"东北电力学院外语部
",1
"东北师范大学计算机科学系
",1
"东北师范大学
",1
"东北大学机械原理教研室
",1
"上海石油化工高等专科学校
",1
"上海电机技术高等专科学校
",1
"上海复旦大学管理学院
",1
"北京理工大学应用数学系
",1
"北京理工大学教材科
",1
"北京理工大学热工教研室，北京理工大学
",1
"吉林大学化学系
",1
"上海交通大学计算机科学与工程系
",1
"国家教委社会科学司
",1
"国家教委师范教育司教材处
",1
"四川重庆大学工程力学系
",1
"四川省机械工业学校
",1
"四川省宜宾师范专科学校教务处
",1
"四川师范大学物理系
",1
"哈尔滨工业高等专科学校
",1
"同济大学物理系
",1
"同济大学教务处
",1
"吉林联合大学教务处
",1
"吉林工业大学外语部
",1
"厦门大学化学系物理化学教研室
",1
"北京科技大学教材科
",1
"南开大学数学系
",1
"南京气象学院大气物理系
",1
"华南理工大学应用化学系
",1
"华中理工大学外语系
",1
"华中理工大学固电系
",1
"华东理工大学
",1
"北方交通大学，北方交通大学电子电路实验中心
",1
"北方交通大学教务处
",1
"北师大历史系
",1
"北京航空航天大学材力教研室
",1
"北京航空航天大学应用数理系，国家教委高等学校数学与力学教学指导委员会
",1
"北京航空航天大学
",1
"高等教育出版社，高教理论参考编辑部
",1
