,0
"高等教育出版社
",5
"清华大学
",5
"北京师范大学
",4
"教育部高等教育司
",3
北京师范大学,3
"北京联合大学
",2
"西安交通大学
",2
白求恩医科大学,2
清华大学,2
"浙江大学
",2
"教育部高教司
",2
"天津大学
",2
"厦门大学
",2
"北京航空航天大学
",2
"上海交通大学
",2
"全国高等学校教学研究中心
",2
"中国科学院
",2
"东南大学
",2
"北京理工大学
",1
"湖南师范大学
",1
"武汉大学
",1
江西上饶师范专科学校,1
"江西上饶师范专科学校
",1
"河北师范大学
",1
"中国科学技术大学
",1
"中国工程院!院士
",1
"东北大学
",1
"中央广播电视大学
",1
"白求恩医科大学
",1
"苏州大学
",1
"西南师范大学
",1
西安交通大学,1
"上海纺织高等专科学校
",1
"长沙电力学院
",1
高等教育出版社,1
教育部高等教育司,1
教育部高教司,1
"北京广播学院
",1
"南开大学
",1
"北京轻工业学院
",1
"华东理工大学
",1
"华中师范大学
",1
华中理工大学汉口分校,1
"华中理工大学汉口分校
",1
"南京大学
",1
"南京机械高等专科学校
",1
"全国人大常委会
",1
"教育部师范教育司
",1
"上海教育科学研究院
",1
哈尔滨建筑大学,1
"哈尔滨建筑大学
",1
"复旦大学
",1
"大连理工大学
",1
"中山大学
",1
"山东大学
",1
"同济大学
",1
