,0
北京大学,13
高等教育出版社,9
上海大学土木工程系,9
内蒙古大学教务处,9
吉林大学,9
武汉大学,8
南京审计学院,7
南京工程学院,7
湖南文理学院,6
大连理工大学化工学院,6
国防科技大学,6
哈尔滨工业大学,6
滨州学院物理系,6
厦门大学,6
华中农业大学,6
厦门大学化学系,5
北京化工大学,5
北京化工大学经济管理学院,5
南京理工大学理学院,5
北京理工大学,5
中国科学技术大学计算机系,5
山西农业大学教务处,5
成都电子机械高等专科学校,5
孝感学院教务处,5
西北工业大学,5
中南大学,5
清华大学电机工程与应用电子技术系,5
清华大学外语系,5
湘潭大学,5
浙江大学生命科学学院,4
中国农业大学生物学院,4
西北大学公共管理学院,4
南开大学化学学院,4
南开大学,4
上海理工大学,4
邵阳学院,4
北京大学教务部,4
南京大学教务处,4
南京农业大学,4
华北电力大学,4
首都师范大学远程教育研究所,4
东北师范大学,4
北京交通大学经济管理学院,4
清华大学,4
兰州大学资源环境学院,4
同济大学物理系,4
中央财经大学,4
宁波大学教务处,4
中国人民大学,4
浙江大学生命科学院,3
北京航空航天大学,3
北京邮电大学,3
北华大学,3
华东理工大学,3
江苏科技大学,3
华中科技大学机械学院,3
湖南大学马克思主义学院,3
华南理工大学数学科学学院,3
浙江大学生物学实验教学中心,3
湖南大学,3
清华大学生物科学与技术系,3
西安交通大学计算机教学实验中心,3
复旦大学,3
西北大学化学系,3
北京联合大学,3
嘉兴学院教务处,3
北京交通大学国家工科基础课程电工电子教学基地,3
北京大学生命学院教学实验中心,3
中山大学,3
中山大学生命科学学院,3
东南大学外语系,2
哈尔滨学院,2
清华大学精密仪器与机械学系,2
温州大学,2
湖南大学岳麓书院,2
四川大学教务处,2
电子科技大学应用数学学院,2
南京理工大学,2
厦门大学教育研究院,2
北京交通大学,2
南开大学文学院,2
北京印刷学院,2
苏州大学,2
中南大学文学院,2
中国科学院研究生院,2
清华大学教育研究所,2
德州学院,2
武汉大学哲学学院,2
中国矿业大学(北京)管理学院,2
中国石油大学(华东),2
河北大学教务处,2
教育部高等教育教学评估中心,2
教育部,2
浙江大学,2
安徽农业大学生命科学学院,2
广西师范学院教务处,2
浙江师范大学,2
浙江师范大学教育学院,2
山西大学高等教育研究所,2
山东大学数学与系统科学学院,2
山东大学威海分校,2
南京航空航天大学,2
武汉大学教务部,2
北京市教委高等教育处,2
上海大学,2
北京工业大学机电学院,2
