,0
中南大学,5
北京化工大学,4
西安交通大学,4
"北京大学
",4
青岛海洋大学,3
"北京航空航天大学
",3
北京大学!教授,3
"清华大学
",3
浙江大学,3
"中南大学
",3
"北京师范大学
",3
"教育部!副部长
",2
清华大学!教授,2
北京师范大学,2
清华大学,2
"石油大学(华东)
",2
"教育部!部长
",2
"华中科技大学
",2
浙江大学!教授,2
北京科技大学,2
"西北大学
",2
"西安交通大学
",2
"承德石油高等专科学校
",2
"东南大学
",2
"青岛海洋大学
",2
成都理工学院,2
华中科技大学,2
"汕头大学
",1
江汉大学,1
武汉大学!教授,1
"东北财经大学
",1
"武汉大学
",1
武汉大学,1
欧美同学会!译审,1
"本刊记者
",1
教育部社会科学研究与思想政治工作司,1
"江汉大学!(筹)校长
",1
教育部!副部长,1
"教育部
",1
"成都理工学院
",1
"徐州师范大学
",1
"常州工学院
",1
教育部师范教育司,1
温州师范学院,1
"江西师范大学
",1
第四军医大学,1
"高等教育出版社
",1
首都经贸大学!教授,1
"首都师范大学
",1
"陕西师范大学
",1
"郑州大学
",1
郑州大学,1
"苏州大学
",1
苏州大学,1
"福建师范大学
",1
"浙江大学
",1
"盐城工学院
",1
"特约记者
",1
特约记者,1
"湘潭师范学院
",1
湖南大学!教授,1
"温州师范学院
",1
"山东财政学院
",1
海南师范学院,1
山西大学,1
"大连理工大学
",1
"山东大学
",1
"北京联合大学
",1
北京师范大学!教授,1
北京师范大学!副教授,1
北京大学教授、中国科学院院士,1
北京大学!教授、本书译者,1
北京大学,1
"北京化工大学
",1
全国高等学校教学研究中心,1
全国政协!副主席,1
"全国人大!副委员长
",1
"中山大学
",1
中山大学,1
中国高等教育学会,1
"中国高教学会会长
",1
"中国高教学会!会长
",1
中国科技大学,1
"中国科学院数学与系统科学研究院!院长、院士
",1
"中国科学院
",1
"中国政法大学!教授
",1
"中国工程院院长
",1
"中国人民大学!校长
",1
"中国人民大学
",1
中国人民大学,1
中华书局!总编辑、编审,1
"北京科技大学
",1
北京航空航天大学,1
山东大学,1
北方交通大学!教授,1
安徽大学,1
"宁波大学
",1
"天津大学!教授
",1
"复旦大学
",1
"国际关系学院!杭州校区
",1
"国防科技大学
",1
国防科技大学,1
"四川大学!校长
",1
"唐山师范学院
",1
唐山师范学院,1
"哈尔滨工业大学
",1
"吉林大学
",1
厦门大学!教授,1
"南通职业大学
",1
南昌大学,1
"南开大学
",1
南京大学!教授,1
"南京农业大学
",1
"华南理工大学
",1
华中师范大学,1
"华中农业大学
",1
华中农业大学,1
华东理工大学!教授、中国科学院院士,1
高等教育出版社!社长、本刊编委会副主任、编审,1
