,0
西安交通大学,11
南京大学,9
清华大学,9
东南大学,5
湖南大学,5
国家教委高教司,5
北京大学,4
南京气象学院,4
中国纺织大学,4
中国药科大学,4
华东化工学院,3
华东师范大学,3
南开大学,3
山东大学,3
南京航空学院,3
山东工业大学,3
北京理工大学,3
广西大学,2
华中理工大学,2
华南理工大学,2
吉林省白城师专,2
广州大学,2
湖南省煤炭工业学校,2
国家教育委员会高等教育司,2
华东冶金学院,2
上海交通大学,2
武汉大学,2
成都地质学院,2
西安武警技术学院,2
高等教育出版社,2
北京航空航天大学,2
北京航天航空大学,2
北京联大自动化工程学院,2
中山大学,2
高等教育出版社文科部,2
东北工学院,2
九江医学专科学校,2
西安电子科技大学,2
上海电子技术学校,2
江西景德镇教育学院,1
船舶总公司教材编审室,1
沈阳电力专科学校,1
河海大学,1
浙江大学,1
浙江工学院,1
河北农业大学,1
鞍山钢铁学院,1
武汉水运工程学院,1
武汉工学院黄石分院,1
浙江师范大学,1
株洲铁路电机学校,1
杭州高等专科学校,1
机电部教育司,1
晋东南师专,1
抚顺煤炭工业学校,1
高等教育出版社理科部,1
重庆石油学校,1
西安空军工程学院,1
重庆大学机械工程一系,1
西北大学,1
苏州大学,1
空军第二航空专科学校,1
空军工程学院,1
福建机电学校,1
湖南郴州教师进修学院,1
荆州师专,1
成都科技大学,1
蚌埠坦克学院,1
湖南机电学校,1
浙江纺织工业学校,1
湖南师范大学,1
西北工业大学,1
湖北黄冈地区工业学校,1
温州师范学院,1
清华大学化学系,1
淮北煤炭师范学院,1
航空航天部教材编审室,1
海军工程学院,1
湖南邵阳师专,1
太原工业大学,1
广西右江民族师专,1
南京师范大学,1
华北航天工业学院,1
华北电力学院,1
华北水电学院,1
华侨大学,1
北方交通大学,1
北京计算机学院,1
北京经济学院,1
北京师范大学,1
北京工业大学出版社,1
北京农业工程大学,1
北京农业大学,1
内蒙古师范大学地理系,1
兰州大学,1
中南工业大学,1
东南大学电气工程系,1
东北水电专科学校,1
东北师范大学,1
上海静安区业余大学,1
上海城市建设学院,1
上海医科大学,1
上海冶金专科学校,1
南京化工动力专科学校,1
南京建筑工程学院,1
广东省商业学校,1
南京政治学院,1
山西经济管理学院,1
山西大学师范学院教育系,1
山西大学师范学院,1
山东滨州师范专科学校,1
宜昌医院专科学校,1
安徽师范大学,1
安庆师范学院,1
天津广播电视大学,1
天津大学,1
大连理工大学,1
复旦大学,1
国防科学技术大学,1
国家教育委员会师范教育司,1
四川农业大学,1
哈尔滨船舶工程学院,1
吉林大学,1
合肥炮兵学院,1
厦门大学,1
南昌水电专科学校教务处,1
南昌水电专科学校,1
南京航空学院教材科,1
黑龙江绥化师范专科学校,1
