,0
高等教育出版社,8
清华大学,6
中国科学院,6
南京大学,5
北京大学,5
东南大学,4
武汉大学,3
西安交通大学,3
兰州大学,2
天津大学,2
华中理工大学,2
北京航空航天大学,2
北京科技大学,2
北京理工大学,2
国家教委高教司,2
国家教委高等教育司,2
中国人民大学,2
中南工业大学,2
西北轻工业学院,1
大连大学,1
大连理工大学,1
黑龙江水利专科学校,1
山西师范大学,1
机械工业部教材编辑室,1
高等教育出版社社长,1
求是杂志社,1
西南交通大学,1
高等专科英语课程教材编审组,1
首都师范大学,1
青岛医学院,1
河海大学,1
浙江大学,1
重庆大学,1
淮阴师范专科学校,1
上海交通大学,1
南京理工大学,1
四川联合大学,1
北京信息工程学院,1
上海第二医科大学,1
东南大学，长治电大,1
中国地质大学,1
中国科学院，华中理工大学,1
中国科学院，大连理工大学,1
中国科技大学,1
佳木斯工学院,1
全国高等工业学校教学信息统计中心,1
全国高等教育教材建设研究会,1
北京农业大学,1
四川师范大学,1
北京农学院,1
北京大学，中山大学,1
北京林业大学,1
华东师范大学,1
南京建筑工程学院,1
上海交通大学，长春建筑高等专科学校，国家教委高教司,1
厦门大学,1
吉林大学,1
哈尔滨工业大学,1
黑龙江省黑河市卫生学校,1
