,0
西安交通大学,7
北京大学,5
南京大学,3
清华大学,3
吉林工业大学,3
南开大学,3
北京航空学院,3
华东师范大学,2
华中师大,2
陕西机械学院,2
南京工学院,2
天津大学,2
北京师范大学,2
吉林工学院,2
华南工学院,2
中南工业大学,2
常德师专,1
深圳大学,1
浙江工学院,1
浙江大学,1
曲阜师大,1
河海大学,1
河北师范大学,1
江苏盐城教育学院,1
武汉钢铁学院,1
广东商学院,1
武汉无线电工业学校,1
抚顺石油学院,1
株洲铁路机械学校,1
杭州大学物理系,1
湖南吉首民族师范,1
上海交通大学,1
湖南大学衡阳分校,1
煤炭部教育司,1
辽宁大学,1
财政部教育司,1
解放军重庆通信学院,1
解放军军械工程学院,1
西安邮电学院,1
西安石油学院,1
西安冶金建筑学院,1
西南交通大学,1
西北纺织学院,1
西北工业大学,1
西北大学,1
苏联科学院,1
福建省教育学院,1
福建电子工业学校,1
福建三明师专,1
山西矿业学院,1
福州大学,1
工程兵工程学院,1
大连海运学院,1
山东矿业学院,1
北京师大,1
华北电力学院,1
华北水电学院,1
华东石油学院,1
华东冶金学院,1
北大,1
北京钢铁学院,1
北京师范学院,1
内江师专,1
南京工业学校,1
中国纺织大学,1
东北师范大学,1
东北师大,1
上海电视大学,1
上海师范大学,1
上海师大,1
上海市鞍山中学,1
华南师范大学,1
南京航空学院,1
山东工业大学,1
四川省机械工业学校,1
太原工业大学,1
天津教育学院,1
大连陆军学院,1
上海城建学院,1
大连工学院,1
大连医学院,1
复旦大学,1
四川工业学院,1
南京药学院,1
商丘师专,1
唐山工程技术学院,1
哈尔滨建筑工程学院,1
哈尔滨工业大学,1
同济大学,1
合肥工业大学,1
厦门大学,1
驻马店师专,1
