,0
高等教育出版社教育技术编辑室,3
清华大学教材委员会,2
清华大学材料力学教研室,2
国家教委高等教育司,2
西安交通大学机械学系,2
北京大学,2
清华大学工程力学系材料力学教研室,2
高等教育出版社,2
北京农业大学教务处,2
四川达县师专物理系,2
高等教育出版社化学编辑室,2
北京理工大学教务处,2
南京大学物理系,2
清华大学教务处,1
清华大学自动化系,1
清华大学工程力学系,1
清华大学,1
清华大学金工教研室,1
湖北省郧阳地区农业学校校办,1
淮阴师范专科学校物理系,1
东北工学院,1
浙江大学校友联络办公室,1
甘肃省永昌县第一中学,1
浙江大学教务处,1
洛阳建材工业专科学校,1
沈阳电力高等专科学校,1
沈阳工业高等专科学校,1
江西师范大学教材科,1
江苏省教委高教处,1
江苏淮阴师专化学系,1
江苏农学院教务处,1
江汉石油学院,1
江汉大学数学系,1
武汉大学教务处,1
武汉大学,1
新疆喀什农业机械化学校,1
湖州师范专科学校,1
西北工业大学出版社,1
盐城卫生学校,1
长春地质学院电子仪器系,1
高等教育出版社机械编辑室,1
高等教育出版社期刊编辑室,1
高等教育出版社政史编辑室,1
高等教育出版社政史室,1
高等教育出版社技术教育编辑室,1
高等教育出版社力学编辑室,1
高等教育出版社力学室,1
高等学校工科数学课程教学指导委员会,1
集美航海学院物理教研室,1
陕西省安康师专物理系,1
陕西机械学院半导体物理与器件室,1
长春师范学院物理系,1
邵阳工业专科学校力学教研室,1
空军第二航空技术专科学校力学教研室,1
西昌师范专科学校体育系,1
西安电子科技大学教材科,1
西安公路学院理论力学教研室,1
西安交通大学数学系,1
西安交通大学教务处,1
西安交通大学工程热物理研究所,1
西安交通大学,1
西南交通大学教务处,1
西北工业大学计算机系,1
西北工业大学机械系,1
承德石油高等专科学校,1
航空航天部教材编审室,1
教材发展研究所,1
广西大学数学系,1
成都师范专科学校数学系,1
徐州医学院组织胚胎学教研室,1
北京理工大学应用数学系,1
北京物资学院基础部,1
北京师范学院,1
北京师范大学儿童心理研究所,1
北京实用美术职业学校,1
北京大学数学系,1
北京化工学院应用化学系,1
北京动力经济学院信息工程系,1
内蒙古大学数学系,1
全国高等教育教材建设研究会筹备组,1
中山大学高等教育研究所,1
中国纺织大学机械原理与机械设计教研室,1
中国科学技术大学,1
中国矿业大学,1
中国电视师范学院,1
中国地质大学力学教研室,1
中国地质大学(武汉)教务处教材科,1
中国人民大学历史系,1
中国人民大学,1
东南大学电气工程系,1
东南大学理论力学教研室,1
东南大学物理系,1
东南大学教务处,1
东南大学动力系,1
东南大学动力工程系,1
东南大学,1
东北电力学院外语部,1
华东工学院教材科,1
华东理工大学化学系物化教研室,1
华东理工大学教务处,1
国家教委高等教育司医药处,1
东北工学院高教科研所,1
广东湛江师范学院物理系,1
广东医药学院数学教研室,1
山东大学数学系,1
宜昌医专,1
安徽建筑工业学院力学教研室,1
太原市职工钢铁学院教务处,1
大连理工大学机械工程系,1
复旦大学出版社总编办公室,1
国防科技大学计算机系,1
国家教育委员会高等教育司教材建设处,1
国家教委高等教育司理科处,1
四川工业学院理论力学教研室,1
华南师范大学生物系,1
哈尔滨船舶工程学院教材科,1
哈尔滨机电专科学校,1
吉林大学化学系,1
厦门大学化学系,1
南开大学物理系,1
南京空军气象学院,1
南京电力高等专科学校,1
南京师范大学教务处,1
南京工业学校,1
南京大学强化部,1
南京大学化学系,1
南京大学,1
高等教育出版社电子编辑室,1
