,0
北京师范大学文学院,3
浙江大学本科生院,3
山东大学,3
武汉大学文学院,3
漳州师范学院外语系,2
教育部高教司财经政法处,2
厦门大学教育研究院,2
北京大学信息科学技术学院,2
中央财经大学教务处,2
湖南大学文学院,2
德州学院,2
中国人民大学教务处,2
北京大学中文系,2
长沙学院教务处,2
陕西师范大学教务处,2
北京大学,2
华中师范大学教务处,2
河南理工大学工程训练中心,1
济南工程职业技术学院教务处,1
河南财经政法大学,1
河南理工大学,1
河南大学环境与民商法研究所,1
洛阳理工学院现代教育技术中心,1
河南大学教务处,1
河北大学药学院,1
沈阳师范大学职业技术学院,1
江西财经大学法学院,1
济南大学体育学院,1
济南大学化学化工学院,1
上海交通大学机械与动力工程学院,1
浙江万里学院,1
浙江师范大学外国语学院,1
浙江金融职业学院,1
浙江科技学院自动化与电气工程学院,1
浙江海洋学院发展规划处,1
浙江海洋学院东海科学技术学院,1
浙江树人大学教务处,1
浙江树人大学,1
浙江师范大学经济管理学院,1
浙江工业大学计算机科学与技术学院,1
浙江万里学院商学院,1
浙江工业大学人文学院中文系,1
浙江大学社会科学学部,1
浙江大学生命科学学院生物技术系,1
浙江大学生命科学学院,1
浙江大学城市学院教务部,1
浙江丽水学院人文学院,1
浙江万里学院生物与环境学院生物科学系,1
浙江农林大学党委,1
江苏省常熟理工学院,1
江西理工大学,1
广西师范学院教务处教研科,1
忻州师范学院教务处,1
忻州师范学院外语系,1
徐州师范大学数学科学学院,1
徐州工程学院教务处,1
延安大学外国语学院,1
广西艺术学院教务处,1
广西幼儿师范高等专科学校,1
广西师范学院党委,1
江苏科技大学,1
广西师范大学文学院,1
广西师范大学公共计算机教学部,1
广西大学文学院,1
广西大学商学院财务与会计系,1
广州大学高等教育研究所,1
广州大学土木工程学院,1
广州大学商学院,1
成都大学,1
成都理工大学,1
扬州大学,1
新乡学院文学院,1
海军兵种指挥学院中校,1
江南大学高等教育研究所,1
江南大学人文学院,1
汕头大学教务处,1
汕头大学医学院教务处,1
武汉理工大学高等教育研究所,1
武汉大学经济与管理学院,1
武汉大学测绘学院,1
武汉大学教务部,1
武汉大学政治与公共管理学院,1
桂林电子科技大学教务处,1
桂林理工大学,1
暨南大学心理健康教育中心,1
晋中学院,1
无锡职业技术学院,1
浙江金融职业学院银领学院,1
清华大学物理系,1
海南大学旅游学院应用外语系,1
西南财经大学教学训练与评估中心,1
西安交通大学高等教育研究所,1
西安交通大学计算机教学实验中心,1
西安交通大学航天学院力学示范中心,1
西安交通大学理学院,1
西安交通大学教务处,1
西安交通大学党委,1
西南财经大学经济学院,1
西南科技大学,1
淮北师范大学教务处,1
西南大学汉语言文献研究所,1
西南交通大学公共管理学院,1
西华大学数学与计算机学院,1
西北工业大学理学院应用物理系,1
西北工业大学,1
西北大学经济管理学院,1
西北大学教务处,1
西安建筑科技大学,1
西安石油大学经济管理学院,1
西安科技大学,1
解放军外国语学院英语系,1
黑龙江大学教育科学研究院,1
高等教育出版社文科出版事业部,1
首都师范大学文学院,1
青岛理工大学经贸学院,1
陕西师范大学文学院,1
长沙理工大学文学院,1
长沙理工大学数学与计算科学学院,1
长沙理工大学教务处,1
长沙学院电子与通信工程系,1
长沙学院工商管理系,1
长春工业大学质量工程办公室,1
长春工业大学,1
铜仁职业技术学院成教处,1
重庆大学法学院,1
重庆大学机械工程学院,1
西北大学城市与环境学院,1
西北大学地质学系,1
西北大学化学与材料科学学院,1
湖南工程学院机械工程学院,1
湖南工程学院,1
湖南工业职业技术学院,1
湖南大学教育科学研究院,1
湖南大学外国语与国际教育学院,1
湖北经济学院,1
湖北大学文学院,1
温州职业技术学院外事办,1
温州职业技术学院,1
温州大学外国语学院,1
温州大学创业人才培养学院,1
清华大学软件学院,1
清华大学计算机系,1
广东白云学院财经系,1
清华大学人文学院,1
淮北职业技术学院,1
湖南工程学院党政办,1
湖南工程学院高教研究与教学评估中心,1
西北大学,1
湖南师范大学,1
西北农林科技大学理学院,1
西北农林科技大学创新实验学院,1
西北农林科技大学农学院,1
绍兴文理学院教务处,1
福州大学,1
石河子大学文学艺术学院中文系,1
燕山大学里仁学院,1
燕山大学外国语学院,1
燕山大学,1
烟台大学,1
湖州师范学院历史系,1
湖南科技大学外国语学院,1
湖南文理学院文史学院,1
湖南文理学院大学英语研究所,1
湖南文理学院,1
广州大学,1
山西农业大学文理学院,1
广东商学院教务处,1
北京工商大学艺术与传媒学院中文教研部,1
北京理工大学管理与经济学院,1
北京理工大学党委宣传部,1
北京教育科学研究院高教所,1
北京师范大学管理学院,1
北京师范大学物理学,1
北京师范大学教务处,1
北京师范大学政治学与国际关系学院中国经济研究中心,1
北京工业大学环境与能源工程学院化学化工系,1
北京科技大学信息工程学院,1
北京工业大学,1
北京大学地球与空间科学学院,1
北京大学哲学系,1
北京外国语大学法学院,1
北京外国语大学德语系,1
北京国际汉语学院,1
北京化工大学教务处,1
北京石油化工学院经济管理学院工商管理系,1
北京科技大学学生就业指导中心,1
广东商学院学生处就业指导中心,1
北京青年政治学院,1
华中农业大学生命科学技术学院,1
华中农业大学理学院计算机科学系,1
华中农业大学教务处教研科,1
华中农业大学教务处实践教学科,1
华中农业大学教务处,1
华东师范大学资源与环境科学学院,1
华东师范大学外语学院,1
北京邮电大学软件学院,1
北京科技大学管庄校区,1
北京邮电大学网络教育学院,1
北京邮电大学信息与通信工程学院,1
北京邮电大学,1
北京航空航天大学高等教育研究所,1
北京航空航天大学人文学院艺术教育中心,1
北京航空航天大学,1
北京联合大学高职处,1
内蒙古财经学院工商管理学院,1
内蒙古师范大学历史文化学院,1
内蒙古大学教务处,1
东南大学发展规划处(高等教育研究所),1
中国人民大学外国语学院,1
中国人民大学商学院市场营销系,1
中南财经政法大学教务部,1
中华女子学院教务处,1
东大学外国语学院,1
东南大学物理系,1
东南大学外国语学院,1
东北师范大学,1
保山学院教务处,1
上海理工大学出版印刷与艺术设计学院,1
上海海洋大学外国语学院大学英语教学部,1
上海杉达学院,1
上海对外贸易学院,1
上海大学文学院,1
上海大学中国古代文学与文化研究中心,1
上海大学,1
中国农业大学人文与发展学院媒体传播系,1
中国农业大学农学与生物技术学院,1
中国石油大学(华东)教务处,1
中国石油大学(华东)机电工程学院机电工程系,1
佳木斯大学材料科学与工程学院,1
云南大学生命科学学院,1
临沂大学外国语学院,1
中央财经大学科研处,1
中央财经大学图书馆,1
中央财经大学,1
中央民族大学文学与新闻传播学院,1
中央广播电视大学艺术教研室,1
中国高等教育学会,1
中国计量学院计算机软件研究所,1
中国计量学院经济与管理学院,1
中国计量学院数学系,1
中国计量学院信息工程学院,1
中国科学技术大学,1
中国矿业大学资源与地球科学学院,1
华中农业大学经济管理学院,1
华中农业大学高等教育研究所,1
华中师范大学历史文化学院,1
国防科学技术大学理学院数学与系统科学系,1
大连理工大学软件学院,1
大连理工大学创新实验学院,1
大连理工大学,1
复旦大学外文学院党委,1
复旦大学外文学院,1
复旦大学图书馆,1
复旦大学企业教育研究中心,1
国防科学技术大学机电工程与自动化学院,1
同济大学理学部物理系,1
四川师范大学文学院,1
嘉兴学院教务处,1
哈尔滨职业技术学院教务处,1
哈尔滨工业大学计算机科学与技术学院,1
哈尔滨工业大学管理学院(威海),1
哈尔滨工业大学电气工程及自动化学院电气工程系,1
哈尔滨工业大学电气工程及自动化学院,1
天津大学教务处,1
天津大学管理与经济学部工程管理系,1
天津工业大学工程教学实习训练中心,1
太原理工大学教务处,1
常熟理工学院外国语学院,1
山西大学哲学社会学学院,1
