,0
北京大学,3
浙江金融职业学院党委,2
教育部高等教育司,2
南京理工大学教务处,2
西安交通大学数学与统计学院,2
中国地质大学(武汉),2
西北大学地质学系,2
天津大学,2
西北大学,2
吉林大学法学院,2
清华大学,2
北京工业大学教务处,2
大连理工大学,2
东南大学,2
武汉大学文学院,2
上海财经大学公共经济与管理学院,2
中山大学生命科学学院,2
南京大学化学化工学院,2
金陵科技学院党委,2
北京第二外国语学院,2
成都理工大学信息科学与技术学院,1
扬州大学,1
成都信息工程学院计算机学院,1
广州大学教务处,1
上海交通大学国际与公共事务学院,1
新疆大学教授务处考试中心,1
教育部高等学校大学计算机课程教学指导委员会,1
教育部高等学校软件工程专业教学指导委员会,1
教育部高等教育司理工处,1
广东海洋大学法学院,1
晋中学院,1
景德镇陶瓷学院,1
景德镇陶瓷学院毕业生就业指导服务中心,1
桂林理工大学化学与生物工程学院,1
江苏师范大学,1
江西师范大学教师教育处,1
沈阳师范大学大学外语教学部,1
河北大学管理学院,1
广东财经大学,1
山东大学计算机科学与技术学院基础教学部,1
广东海洋大学工程学院,1
太原理工大学外国语学院,1
复旦大学,1
复旦大学上海医学院,1
复旦大学化学系,1
复旦大学教务处,1
复旦大学物理学系,1
大连外国语大学德语系,1
大连大学教务处,1
大连理工大学工程训练中心,1
大连理工大学教务处,1
天津外国语大学,1
太原师范学院基础部,1
宁波卫生职业技术学院,1
广东商学院法学院,1
安徽大学法学院,1
安徽大学管理学院,1
山东大学,1
山东大学(威海)商学院,1
山东大学(威海)翻译学院,1
山东大学化学与化工学院,1
山东大学本科生院,1
河北工程大学信息与电气工程学院,1
山东师范大学文学院,1
山西大同大学高教研究所,1
广东佛山科学技术学院文学院中文系,1
河北工业大学外国语学院,1
河南大学经济学院国际经济研究所,1
河北师范大学研究生院,1
福州大学化学学院,1
西北工业大学外国语学院,1
西北工业大学教务处,1
西北政法大学哲学与社会发展学院,1
西华大学人文学院,1
西华大学数学与计算机学院,1
西南大学地理科学学院地理信息系统与工程系,1
西南石油大学机电工程学院,1
西南科技大学分析测试中心,1
西安交通大学法医学院,1
西安交通大学计算机教学实验中心,1
西安工程大学管理学院,1
西安理工大学,1
西安石油大学思政部,1
西安邮电大学通信与信息工程学院,1
解放军信息工程大学地理空间信息学院,1
贵州财经学院高等教育研究与评估中心,1
辽宁大学,1
辽宁工业大学计算中心,1
郑州大学文学院,1
重庆三峡学院教务处,1
重庆交通大学教务处,1
闽南师范大学教师教育学院,1
首都师范大学,1
福建江夏学院,1
福州大学,1
河北金融学院,1
皖西学院教务处,1
河北金融学院金融系,1
河南商丘职业技术学院,1
河南大学教务处,1
国家大学生文化素质教育基地,1
河南教育学院文学院,1
浙江万里学院教育发展研究中心,1
浙江丽水学院教师教育学院办公室,1
浙江大学中文系,1
浙江大学光华法学院,1
浙江大学化学系,1
浙江大学计算机科学与技术学院,1
浙江工商大学法学院,1
浙江树人大学教务处,1
淮南师范学院中文与传媒系,1
清华大学化工系,1
清华大学教务处,1
清华大学航天航空学院党委,1
清华大学计算机科学与技术系,1
渤海大学,1
湖北大学化学化工学院,1
湖北工业大学语言文化研究所,1
湖北文理学院文学院,1
湖南师范大学教学督导委员会,1
国防科学技术大学,1
哈尔滨工业大学电气工程系电子学教研室,1
四川大学文学与新闻学院,1
北京化工大学经济管理学院,1
中山大学旅游学院,1
云南大学人文学院,1
兰州大学地矿学院,1
兰州大学教育学院,1
内蒙古大学教务处基地建设与教学评估办公室,1
内蒙古财经大学,1
北京交通大学法学院,1
北京交通大学计算机与信息技术学院,1
北京交通大学语言与传播学院,1
北京信息科技大学机电工程学院,1
北京化工大学信息科学与技术学院计算机系,1
北京外国语大学专门用途英语学院,1
中央财经大学商学院市场营销系,1
北京外国语大学法学院,1
北京大学化学与分子工程学院,1
北京大学哲学系/外国哲学研究所,1
北京大学慕课工作组,1
北京大学教务部,1
北京大学教务长办公室,1
北京大学财经法研究中心,1
北京工业大学,1
北京工业大学实验学院,1
北京工业大学建筑工程学院,1
北京师范大学外文学院,1
中央财经大学经济学院政治经济学系,1
中国药科大学,1
北京师范大学物理学系,1
中国人民大学教务处,1
上海外国语大学高翻学院,1
上海大学教务处,1
上海大学文学院中文系,1
上海大学音乐学院,1
上海工程技术大学,1
上海财经大学,1
上海财经大学研究室,1
东北师范大学教育学部,1
中南大学创新与创业教育办公室,1
中南大学化学化工学院,1
中国人民公安大学教务处,1
中国人民大学经济学院,1
中国纪检监察学院,1
中国人民解放军理工大学,1
中国传媒大学文学院,1
中国地质大学(北京)地球科学与资源学院,1
中国地质大学(武汉)地球科学学院,1
中国工程院,1
中国政法大学商学院,1
中国海洋大学,1
中国海洋大学高教研究与评估中心,1
中国矿业大学信电学院,1
中国科学技术大学数学学院,1
中国科学院,1
北京师范大学教育学部教育管理学院,1
北京理工大学软件学院数字媒体系,1
四川大学,1
吉林大学化学学院,1
南京师范大学教务处,1
南京师范大学金陵女子学院,1
