,0
清华大学工程力学系,4
高等教育出版社,4
高等教育出版社机械编辑室,3
武汉大学化学系,2
华南理工大学应用化学系,2
清华大学化学系,2
沈阳电力专科学校电子教研室,2
西北大学外语系,2
重庆大学工程力学系,2
温州师范学院化学系,1
清华大学计算机系,1
清华大学现代应用物理系,1
海淀走读大学副校长,1
湖北省教委高教处,1
清华大学材料力学教研室,1
湖北省黄岗工业学校教学教研组,1
清华大学应用数学系,1
湖南师范大学物理系,1
清华大学工程力学系材料力学教研室,1
湖南益阳师专,1
清华大学外国教材中心,1
湖南省机械工业学校力学教研室,1
淮阴师范专科学校物理系,1
淮南矿业学院建筑工程系,1
清华大学热能工程系,1
浙江广播电视大学湖州分校,1
浙江第二人民警察学校,1
江苏省淮阴粮食学校,1
武汉大学教材建设科,1
武汉水利电力学院工程及计算机图学教研室,1
武汉水电学院,1
江汉石油学院教务处副处长,1
江苏泰州市职工大学,1
江苏省教委高教处,1
江苏省教委高校教学处,1
江苏省淮阴商业学校,1
江苏省运河航运公司,1
湖南省邵阳师专,1
江西大学教材科,1
江西省万年师范学校,1
沈阳冶金机械专科学校,1
河北师范大学体育系,1
河北师范大学化学系无机教研室主任,1
浙江大学化学系,1
浙江大学外语系,1
浙江宁波高等专科学校,1
湖南省纺织工业学校,1
上海交通大学研究生院,1
湖南邵阳师专物理系,1
锦州师范专科学校,1
陕西工商学院计算中心室,1
陕西师范大学地理系,1
陕西师范大学生物系,1
陕西汉中师院学报编辑部,1
青海师范大学教材科,1
鞍山钢铁学院,1
鞍山钢铁学院理论力学教研室,1
高等教育出版社中文室,1
高等教育出版社力学室,1
高等教育出版社力学编辑室编审,1
高等教育出版社政史编辑室,1
高等教育出版社数学编辑室,1
高等教育出版社机械室,1
高等教育出版社电工编辑室,1
高等教育出版社电工编辑室主在,1
高等教育出版社职教部,1
高等教育出版社计算机编辑室,1
长沙电力学校,1
重庆大学电气工程系,1
湖南邵阳师范专科学校数学系,1
西安邮电学院管理系,1
武汉化工学院,1
石家庄军械工程学院,1
石家庄铁道学院教材科,1
石油大学数学教研室,1
石油物探学校,1
福建建筑工程专科学校,1
福建省税务学校计算机教研室,1
苏州大学工学院,1
蚌埠坦克学院机械室,1
西北工业大学,1
西北工业大学应用数学系,1
西北师大外语系,1
西南师范大学数学系,1
西安交通大学日语教研室,1
西安交通大学机械学系,1
西安电子科技大学电子工程系,1
西安电子科技大学电磁场教研室,1
盐城工业专科学校物理教研室,1
桂林医学院物理教研室,1
上海冶金专科学校,1
株州铁路电机学校,1
北京化工学院应用化学系,1
北京大学,1
北京大学无线电系,1
北京大学物理系,1
北京大学生物学系,1
北京水利电力经济管理学院,1
北京物资学院,1
北京理工大学教务处副处长,1
北京科技大学材料力学教研室,1
北京经济学院应用数学教研室,1
北京联合大学,1
华东交通大学教材科,1
华中理工大学出版社理科编辑室主任,1
华中理工大学外语系,1
华北电力学院电子教研室,1
华北航天工业学院,1
华南理工大学理论力学教研室,1
南京农业专科学校,1
南京化工动力专科学校,1
农业部教育司高教处,1
佛山市农业机械学校,1
中山大学数学系,1
东南大学,1
上海医疗器械专科学校,1
上海石油化工专科学校,1
上海科技高等专科学校校长,1
上海纺织高等专科学校,1
上海高等机械专科学校机械系,1
东北师范大学化学系,1
东北水利水电专科学校电子教研室,1
东北水电专科学校电子教研室,1
东南大学土木工程系,1
中国计量学院力学教研室,1
东南大学外语系,1
东南大学教务处处长,1
中南工业大学数力系,1
中国核工业总公司教育培训部,1
中国矿业大学,1
中国矿业大学经贸学院,1
中国纺织大学机械原理与机械设计教研室,1
中国船舶工业总公司教材编审室,1
南京大学图书馆,1
南京大学数学系,1
南京工业学校,1
山东曲阜师范大学化学系,1
大连铁道学院材料力学教研室,1
天津南开大学物理系教研室,1
宁波海洋学校通信教研室,1
安徽省徽州师范专科学校,1
山东临沂师专数学系,1
山东大学外语教学部,1
山东大学数学系,1
山东工业大学教务处,1
广东省湛江市雷州师专物理系,1
大连理工大学有机化学教研室,1
广西大学教材科,1
廊坊炮兵导弹学校,1
徽州师专,1
扬州工学院基础部,1
扬州师范学院物理系,1
抚顺煤炭工业学校,1
杭州教育学院物理系,1
杭州电子工业学院科研处,1
大连理工大学机械系,1
复旦大学应用力学系,1
南京机电学校,1
吉林化工学校教材,1
南京气象学院大气物理系,1
南京气象学院物理教研室,1
南京电力专科学校,1
南京航务工程专科学校,1
南方冶金学院制图教研室,1
厦门大学化学系物理化学教研室,1
合肥炮兵学院机械系,1
合肥联合大学,1
吉林市联合大学教务处,1
国家教委社科司文科处,1
四川大学分析化学教研室,1
四川大学生物系,1
四川师范学院生物系,1
四川省教育委员会高教处,1
四川省机械工业学校,1
四川省财政学校专业基础教研室,1
国家教委,1
国家教委理科处,1
齐齐哈尔轻工学院化工系,1
