,0
清华大学,11
北京大学,7
西北工业大学,5
高等教育出版社,3
四川大学,3
北京师范大学,3
湖南城市建设专科学校,2
厦门大学,2
浙江大学,2
景德镇教育学院,2
大连理工大学,2
山东大学,2
山东工业大学,2
西南交通大学,2
上海交通大学,2
西安电子科技大学,2
郑州工学院,2
上饶师范专科学校,2
中南工业大学,2
军械工程学院,2
西安交通大学,2
武汉市司法干校,1
武汉大学,1
江西宜春师专,1
沈阳冶金机械专科学校,1
汕头大学,1
武汉化工学院,1
株州铁路机械学校,1
河南师范大学,1
江南大学,1
杭州大学,1
淮海大学,1
淮阴工业专科学校,1
机械电子工业部教材办公室,1
河北师范大学,1
电子科技大学,1
湖南大学,1
湖南省纺织工业学校,1
陕西汉中师院,1
阿坝师范专科学校,1
长沙水利电力师院,1
长春大学,1
镇江师范专科学校,1
邵阳师专,1
财政部教育司,1
西南农业大学,1
西北师范大学,1
蚌埠坦克学院,1
航空航天部教编室,1
空军第二航空技术专科学校,1
石家庄铁道学院,1
石家庄军械工程学院,1
烟台大学,1
本溪钢铁职工学院,1
广西南宁民族学院,1
扬州工学院,1
北京农业大学,1
南京化工动力专科学校,1
华中师范大学,1
华东石油大学,1
华东师范大学,1
北方交通大学,1
北京经济学院,1
北京理工大学,1
北京师范学院,1
信阳师院,1
南京建筑工程学院,1
人民卫生出版社,1
乌鲁木齐铁路教育学院,1
中国药科大学,1
中国船舶工业总公司教材编审室,1
中南财经大学,1
东南大学,1
上海纺织工业专科学校,1
上海电机制造技术专科学校,1
南京师范大学,1
南京气象学院,1
成都气象学院,1
安庆师院,1
怀化师专,1
张掖师专,1
上海教育学院,1
广东韩山师专,1
广东建筑工程专科学校,1
山西大学,1
山东滨州师专,1
安徽师范大学,1
宁波高等专科学校,1
南京航空学院,1
国防科技大学,1
国家教育委员会高等教育司,1
国家教委高教司,1
国家教委医药教育处,1
四川绵阳师专,1
哈尔滨工人业余大学,1
哈尔滨工业大学,1
南开大学,1
黑龙江农垦师专,1
